\alpha	E	\sigma^2
0.150000	454.376762	588.638702
0.200000	363.217314	282.270633
0.250000	312.276225	138.463357
0.300000	283.569685	70.786422
0.350000	266.117576	33.434308
0.400000	256.372044	12.770957
0.450000	251.386980	2.798849
0.500000	250.000000	0.000000
0.550000	251.129708	2.326361
0.600000	254.148269	8.484746
0.650000	258.656870	17.647316
0.700000	264.415649	29.041674
time(s)	47105.819266
