\alpha	E	\sigma^2
0.150000	1.049245	1.749223
0.200000	0.722948	0.440976
0.250000	0.683378	0.368510
0.300000	0.558174	0.122210
0.350000	0.537360	0.065037
0.400000	0.519519	0.026850
0.450000	0.499935	0.005053
0.500000	0.500000	0.000000
0.550000	0.493146	0.008451
0.600000	0.512760	0.014213
0.650000	0.520745	0.032501
0.700000	0.536369	0.048478
time(s)	0.501516
