\alpha	E	\sigma^2
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.300000	1.132658	0.288718
0.350000	1.063538	0.132836
0.400000	1.024757	0.050738
0.450000	1.005121	0.011059
0.500000	1.000000	0.000000
0.550000	1.004854	0.009054
0.600000	1.015802	0.033602
0.650000	1.036191	0.069606
0.700000	1.059501	0.115876
time(s)	60.565296
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
0.150000	1.818013	2.262586
0.200000	1.455228	1.100057
0.250000	1.247942	0.557726
