\alpha	E	\sigma^2
0.150000	19.247384	31.828361
0.200000	14.823931	14.629199
0.250000	12.433049	4.514983
0.300000	11.448196	3.237759
0.350000	10.882006	1.229293
0.400000	10.325128	0.620270
0.450000	9.987356	0.077361
0.500000	9.999999	-0.000000
0.550000	10.030787	0.093470
0.600000	9.988148	0.546883
0.650000	10.368797	0.584107
0.700000	10.521257	0.986413
time(s)	43.216543
