\alpha	E	\sigma^2
0.150000	1.808120	2.220335
0.200000	1.447821	1.065379
0.250000	1.261731	0.571649
0.300000	1.142433	0.284032
0.350000	1.058206	0.124982
0.400000	1.026996	0.050268
0.450000	1.006099	0.011108
0.500000	1.000000	0.000000
0.550000	1.007801	0.008407
0.600000	1.016601	0.033663
0.650000	1.034440	0.071764
0.700000	1.062628	0.111837
time(s)	27.069633
0.150000	1.808120	2.220335
0.200000	1.447821	1.065379
0.250000	1.261731	0.571649
0.300000	1.142433	0.284032
0.350000	1.058206	0.124982
0.400000	1.026996	0.050268
0.450000	1.006099	0.011108
0.500000	1.000000	0.000000
0.550000	1.007801	0.008407
0.600000	1.016601	0.033663
0.650000	1.034440	0.071764
0.700000	1.062628	0.111837
time(s)	27.525745
