\alpha	E	\sigma^2
0.150000	1.775689	1.700641
0.200000	1.315909	0.644282
0.250000	1.428235	0.962099
0.300000	1.084977	0.195822
0.350000	1.091221	0.146173
0.400000	1.033908	0.064672
0.450000	1.016324	0.014678
0.500000	1.000000	0.000000
0.550000	1.011114	0.009250
0.600000	1.018867	0.022917
0.650000	1.075666	0.048925
0.700000	1.010896	0.160611
time(s)	0.308579
