\alpha	E	\sigma^2
0.150000	1.839667	2.504078
0.200000	1.594299	1.448029
0.250000	1.222447	0.578597
0.300000	1.123010	0.251734
0.350000	1.079198	0.142236
0.400000	1.029292	0.055282
0.450000	1.007313	0.011536
0.500000	1.000000	0.000000
0.550000	1.010999	0.007587
0.600000	1.021816	0.030059
0.650000	1.029264	0.076527
0.700000	1.051205	0.119345
time(s)	2.802180
