\alpha	E	\sigma^2
0.150000	9.106263	11.640633
0.200000	7.244803	5.444451
0.250000	6.244901	2.782370
0.300000	5.663079	1.423757
0.350000	5.320485	0.664146
0.400000	5.122440	0.250817
0.450000	5.025534	0.054835
0.500000	5.000000	0.000000
0.550000	5.022570	0.045441
0.600000	5.085146	0.165262
0.650000	5.172097	0.353258
0.700000	5.281379	0.588995
0.750000	5.414592	0.864856
0.800000	5.560381	1.189157
0.850000	5.714230	1.556540
0.900000	5.885143	1.934098
0.950000	6.065354	2.370971
1.000000	6.240684	2.807561
1.050000	6.444180	3.284275
1.100000	6.630512	3.818769
time(s)	739.332381
