\alpha	E	\sigma^2
0.150000	9.029757	10.110643
0.200000	7.335626	5.193982
0.250000	6.327712	2.483604
0.300000	5.732068	1.522881
0.350000	5.330426	0.630109
0.400000	5.117247	0.257852
0.450000	5.027541	0.055264
0.500000	5.000000	-0.000000
0.550000	5.032164	0.046657
0.600000	5.099966	0.160451
0.650000	5.165170	0.338124
0.700000	5.244309	0.595581
time(s)	25.456510
