\alpha	E	\sigma^2
0.150000	91.477145	120.389282
0.200000	71.932346	48.581309
0.250000	62.505885	26.294012
0.300000	56.568515	14.590372
0.350000	53.178590	7.124263
0.400000	51.128231	2.525679
0.450000	50.250013	0.560606
0.500000	49.999997	0.000000
0.550000	50.211243	0.501113
0.600000	50.801248	1.802022
0.650000	51.758664	3.576185
0.700000	52.753183	5.784341
time(s)	9987.744080
